ego_feature,index,feature_name,feature_number
0,191,education,school
0,192,education,school
0,193,education,school
0,194,education,school
0,195,education,school
0,196,education,school
0,197,education,school
0,198,education,school
0,199,education,school
0,200,education,school
0,201,education,school
0,202,education,school
0,203,education,school
0,204,education,school
0,205,education,school
0,206,education,school
0,207,education,school
0,208,education,school
0,209,education,school
0,210,education,school
0,211,education,school
0,212,education,school
0,213,education,school
0,214,education,school
0,215,education,school
0,216,education,school
1,217,education,school
0,218,education,school
1,219,education,school
1,220,education,type
1,221,education,type
0,222,education,type
0,223,education,with
0,224,education,with
0,225,education,with
0,226,education,year
0,227,education,year
0,228,education,year
0,229,education,year
0,230,education,year
0,231,education,year
0,232,education,year
0,233,education,year
0,234,education,year
0,235,education,year
0,236,education,year
0,237,education,year
0,238,education,year
1,239,education,year
0,240,education,year
0,241,education,year
0,242,education,year
0,243,education,year
1,244,education,year
0,245,education,year
0,246,education,year
0,247,education,year
0,248,first_name,545
0,249,first_name,546
0,250,first_name,547
0,251,first_name,548
0,252,first_name,549
0,253,first_name,550
0,254,first_name,325
0,255,first_name,551
0,256,first_name,110
0,257,first_name,357
0,258,first_name,552
0,259,first_name,553
0,260,first_name,554
0,261,first_name,555
0,262,first_name,556
0,263,first_name,557
0,264,gender,77
1,265,gender,78
0,266,hometown,id
0,267,hometown,id
0,268,hometown,id
0,269,hometown,id
0,270,hometown,id
0,271,hometown,id
0,272,hometown,id
0,273,hometown,id
0,274,hometown,id
0,275,hometown,id
0,276,hometown,id
0,277,hometown,id
0,278,hometown,id
0,279,hometown,id
0,280,hometown,id
0,281,hometown,id
0,282,hometown,id
0,283,hometown,id
0,284,languages,id
0,285,languages,id
0,286,languages,id
0,287,languages,id
0,288,languages,id
0,289,languages,id
0,290,languages,id
0,291,languages,id
0,292,languages,id
0,293,languages,id
0,294,languages,id
0,295,languages,id
0,296,languages,id
0,297,languages,id
0,298,languages,id
0,299,last_name,575
0,300,last_name,576
0,301,last_name,577
0,302,last_name,106
0,303,last_name,578
0,304,last_name,579
0,305,last_name,267
0,306,last_name,268
0,307,last_name,269
0,308,last_name,580
0,309,last_name,581
0,310,last_name,324
0,311,last_name,582
0,312,last_name,583
0,313,last_name,584
0,314,last_name,585
0,315,last_name,586
0,316,last_name,587
0,317,last_name,588
0,318,last_name,270
0,319,last_name,589
0,320,last_name,590
0,321,last_name,271
0,322,last_name,110
0,323,last_name,591
0,324,last_name,272
0,325,last_name,592
1,326,last_name,273
0,327,last_name,593
0,328,last_name,594
0,329,last_name,595
0,330,last_name,596
0,331,last_name,274
0,332,last_name,597
0,333,last_name,275
0,334,last_name,276
0,335,last_name,598
0,336,last_name,599
0,337,last_name,600
0,338,last_name,601
0,339,last_name,602
0,340,last_name,327
0,341,last_name,603
0,342,last_name,277
0,343,last_name,604
0,344,last_name,605
0,345,last_name,606
0,346,last_name,607
0,347,locale,126
1,348,locale,127
0,349,locale,278
0,350,location,id
0,351,location,id
0,352,location,id
0,353,location,id
0,354,location,id
0,355,location,id
0,356,location,id
0,357,location,id
0,358,location,id
0,359,location,id
0,360,location,id
0,361,location,id
0,362,location,id
0,363,location,id
0,364,location,id
0,365,location,id
0,366,location,id
0,367,location,id
0,368,location,id
0,369,location,id
0,370,location,id
0,371,location,id
0,372,location,id
0,373,location,id
0,374,location,id
0,375,middle_name,621
0,376,middle_name,622
0,377,middle_name,355
0,378,middle_name,623
0,379,middle_name,624
0,380,middle_name,554
0,381,middle_name,625
0,382,middle_name,626
0,383,middle_name,627
0,384,work,employer
0,385,work,employer
0,386,work,employer
0,387,work,employer
0,388,work,employer
0,389,work,employer
0,390,work,employer
0,391,work,employer
0,392,work,employer
0,393,work,employer
0,394,work,employer
0,395,work,employer
0,396,work,employer
0,397,work,employer
0,398,work,employer
0,399,work,employer
0,400,work,employer
0,401,work,employer
0,402,work,employer
0,403,work,employer
0,404,work,employer
0,405,work,employer
0,406,work,employer
0,407,work,employer
0,408,work,employer
0,409,work,employer
0,410,work,employer
0,411,work,employer
0,412,work,employer
0,413,work,employer
0,414,work,employer
0,415,work,employer
0,416,work,employer
0,417,work,employer
0,418,work,employer
0,419,work,employer
0,420,work,employer
0,421,work,employer
0,422,work,employer
0,423,work,employer
0,424,work,employer
0,425,work,employer
0,426,work,employer
0,427,work,employer
0,428,work,employer
0,429,work,employer
0,430,work,employer
0,431,work,employer
0,432,work,employer
0,433,work,employer
0,434,work,employer
0,435,work,employer
0,436,work,employer
0,437,work,employer
0,438,work,employer
0,439,work,employer
0,440,work,employer
0,441,work,employer
0,442,work,end_date
0,443,work,end_date
0,444,work,end_date
0,445,work,end_date
0,446,work,end_date
0,447,work,end_date
0,448,work,end_date
0,449,work,end_date
0,450,work,end_date
0,451,work,end_date
0,452,work,end_date
0,453,work,end_date
0,454,work,end_date
0,455,work,end_date
0,456,work,end_date
0,457,work,end_date
0,458,work,end_date
0,459,work,end_date
0,460,work,end_date
0,461,work,end_date
0,462,work,end_date
0,463,work,end_date
0,464,work,end_date
0,465,work,end_date
0,466,work,end_date
0,467,work,end_date
0,468,work,end_date
0,469,work,end_date
0,470,work,from
0,471,work,from
0,472,work,location
0,473,work,location
0,474,work,location
0,475,work,location
0,476,work,location
0,477,work,location
0,478,work,location
0,479,work,location
0,480,work,location
0,481,work,location
0,482,work,location
0,483,work,location
0,484,work,location
0,485,work,location
0,486,work,location
0,487,work,location
0,488,work,location
0,489,work,location
0,490,work,location
0,491,work,location
0,492,work,location
0,493,work,location
0,494,work,position
0,495,work,position
0,496,work,position
0,497,work,position
0,498,work,position
0,499,work,position
0,500,work,position
0,501,work,position
0,502,work,position
0,503,work,position
0,504,work,position
0,505,work,position
0,506,work,position
0,507,work,position
0,508,work,position
0,509,work,position
0,510,work,position
0,511,work,position
0,512,work,position
0,513,work,position
0,514,work,position
0,515,work,position
0,516,work,position
0,517,work,projects
0,518,work,projects
0,519,work,projects
0,520,work,projects
0,521,work,projects
0,522,work,projects
0,523,work,projects
0,524,work,projects
0,525,work,projects
0,526,work,projects
0,527,work,projects
0,528,work,start_date
0,529,work,start_date
0,530,work,start_date
0,531,work,start_date
0,532,work,start_date
0,533,work,start_date
0,534,work,start_date
0,535,work,start_date
0,536,work,start_date
0,537,work,start_date
0,538,work,start_date
0,539,work,start_date
0,540,work,start_date
0,541,work,start_date
0,542,work,start_date
0,543,work,start_date
0,544,work,start_date
0,545,work,start_date
0,546,work,start_date
0,547,work,start_date
0,548,work,start_date
0,549,work,start_date
0,550,work,start_date
0,551,work,start_date
0,552,work,start_date
0,553,work,start_date
0,554,work,start_date
0,555,work,start_date
0,556,work,start_date
0,557,work,start_date
0,558,work,start_date
0,559,work,start_date
0,560,work,start_date
0,561,work,start_date
0,562,work,start_date
0,563,work,start_date
0,564,work,start_date
0,565,work,start_date
0,566,work,start_date
0,567,work,start_date
0,568,work,start_date
0,569,work,start_date
0,570,work,start_date
0,571,work,start_date
0,572,work,start_date
0,573,work,with
0,574,work,with
0,575,work,with
