feat_name,feature_num
educationschoolid,535
educationschoolid,536
educationschoolid,52
educationschoolid,537
educationschoolid,538
educationtype,53
educationtype,54
educationtype,55
educationwithid,539
educationwithid,540
educationwithid,541
educationyearid,542
educationyearid,543
educationyearid,58
educationyearid,59
educationyearid,544
educationyearid,254
educationyearid,255
educationyearid,60
educationyearid,61
educationyearid,62
educationyearid,63
educationyearid,64
educationyearid,65
educationyearid,66
educationyearid,67
educationyearid,68
educationyearid,69
educationyearid,257
educationyearid,70
educationyearid,71
educationyearid,259
educationyearid,72
first_name,545
first_name,546
first_name,547
first_name,548
first_name,549
first_name,550
first_name,325
first_name,551
first_name,110
first_name,357
first_name,552
first_name,553
first_name,554
first_name,555
first_name,556
first_name,557
gender,77
gender,78
hometownid,558
hometownid,559
hometownid,263
hometownid,560
hometownid,561
hometownid,562
hometownid,82
hometownid,84
hometownid,563
hometownid,564
hometownid,565
hometownid,566
hometownid,178
hometownid,567
hometownid,568
hometownid,298
hometownid,569
hometownid,264
languagesid,90
languagesid,570
languagesid,571
languagesid,91
languagesid,92
languagesid,93
languagesid,94
languagesid,572
languagesid,573
languagesid,97
languagesid,265
languagesid,100
languagesid,101
languagesid,574
languagesid,266
last_name,575
last_name,576
last_name,577
last_name,106
last_name,578
last_name,579
last_name,267
last_name,268
last_name,269
last_name,580
last_name,581
last_name,324
last_name,582
last_name,583
last_name,584
last_name,585
last_name,586
last_name,587
last_name,588
last_name,270
last_name,589
last_name,590
last_name,271
last_name,110
last_name,591
last_name,272
last_name,592
last_name,273
last_name,593
last_name,594
last_name,595
last_name,596
last_name,274
last_name,597
last_name,275
last_name,276
last_name,598
last_name,599
last_name,600
last_name,601
last_name,602
last_name,327
last_name,603
last_name,277
last_name,604
last_name,605
last_name,606
last_name,607
locale,126
locale,127
locale,278
locationid,128
locationid,129
locationid,608
locationid,609
locationid,610
locationid,611
locationid,612
locationid,613
locationid,614
locationid,281
locationid,133
locationid,84
locationid,176
locationid,134
locationid,615
locationid,283
locationid,616
locationid,617
locationid,618
locationid,284
locationid,298
locationid,619
locationid,138
locationid,264
locationid,620
middle_name,621
middle_name,622
middle_name,355
middle_name,623
middle_name,624
middle_name,554
middle_name,625
middle_name,626
middle_name,627
workemployerid,628
workemployerid,629
workemployerid,630
workemployerid,228
workemployerid,140
workemployerid,451
workemployerid,230
workemployerid,631
workemployerid,632
workemployerid,633
workemployerid,634
workemployerid,635
workemployerid,636
workemployerid,637
workemployerid,638
workemployerid,485
workemployerid,639
workemployerid,640
workemployerid,641
workemployerid,642
workemployerid,643
workemployerid,644
workemployerid,645
workemployerid,145
workemployerid,646
workemployerid,647
workemployerid,648
workemployerid,649
workemployerid,650
workemployerid,518
workemployerid,247
workemployerid,651
workemployerid,248
workemployerid,652
workemployerid,653
workemployerid,654
workemployerid,655
workemployerid,656
workemployerid,657
workemployerid,658
workemployerid,659
workemployerid,660
workemployerid,661
workemployerid,662
workemployerid,150
workemployerid,151
workemployerid,663
workemployerid,664
workemployerid,665
workemployerid,666
workemployerid,667
workemployerid,668
workemployerid,669
workemployerid,536
workemployerid,670
workemployerid,52
workemployerid,671
workemployerid,538
workend_date,157
workend_date,672
workend_date,673
workend_date,674
workend_date,675
workend_date,676
workend_date,294
workend_date,677
workend_date,678
workend_date,158
workend_date,196
workend_date,679
workend_date,160
workend_date,161
workend_date,162
workend_date,164
workend_date,199
workend_date,166
workend_date,200
workend_date,167
workend_date,201
workend_date,680
workend_date,168
workend_date,169
workend_date,170
workend_date,171
workend_date,681
workend_date,172
workfromid,682
workfromid,683
worklocationid,684
worklocationid,128
worklocationid,129
worklocationid,609
worklocationid,296
worklocationid,561
worklocationid,281
worklocationid,133
worklocationid,84
worklocationid,176
worklocationid,134
worklocationid,177
worklocationid,685
worklocationid,178
worklocationid,179
worklocationid,615
worklocationid,283
worklocationid,686
worklocationid,617
worklocationid,618
worklocationid,619
worklocationid,264
workpositionid,687
workpositionid,688
workpositionid,182
workpositionid,689
workpositionid,183
workpositionid,690
workpositionid,691
workpositionid,692
workpositionid,184
workpositionid,693
workpositionid,185
workpositionid,694
workpositionid,189
workpositionid,695
workpositionid,302
workpositionid,696
workpositionid,697
workpositionid,698
workpositionid,699
workpositionid,700
workpositionid,192
workpositionid,193
workpositionid,701
workprojectsid,702
workprojectsid,703
workprojectsid,704
workprojectsid,705
workprojectsid,706
workprojectsid,707
workprojectsid,708
workprojectsid,709
workprojectsid,710
workprojectsid,711
workprojectsid,712
workstart_date,157
workstart_date,713
workstart_date,714
workstart_date,334
workstart_date,715
workstart_date,672
workstart_date,716
workstart_date,674
workstart_date,717
workstart_date,194
workstart_date,718
workstart_date,375
workstart_date,719
workstart_date,675
workstart_date,307
workstart_date,308
workstart_date,720
workstart_date,678
workstart_date,721
workstart_date,195
workstart_date,310
workstart_date,722
workstart_date,196
workstart_date,679
workstart_date,197
workstart_date,161
workstart_date,162
workstart_date,723
workstart_date,724
workstart_date,164
workstart_date,199
workstart_date,165
workstart_date,166
workstart_date,200
workstart_date,725
workstart_date,201
workstart_date,332
workstart_date,726
workstart_date,168
workstart_date,202
workstart_date,169
workstart_date,170
workstart_date,171
workstart_date,681
workstart_date,203
workwithid,727
workwithid,728
workwithid,683
